student_id,age,gender,gpa,family_income,target_track,target_strand,created_at,assessment_mathematics,assessment_science,assessment_communication,assessment_critical_thinking,assessment_problem_solving,assessment_creativity,assessment_leadership,assessment_technical_knowledge,assessment_research,assessment_analysis,assessment_writing,assessment_practical_skills,assessment_analytical_thinking,assessment_business_acumen,assessment_empathy,assessment_adaptability,assessment_flexibility,assessment_programming,assessment_logical_thinking,assessment_technical_skills,assessment_hands_on,assessment_craftsmanship,assessment_mechanical_aptitude,assessment_attention_to_detail,assessment_organization,assessment_care_giving,assessment_environmental_awareness,assessment_patience,assessment_physical_stamina,assessment_observation,interests,hobbies,work_preferences
STU_48469,17,Other,3.22,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-01-24 19:31:55.832294,87.0,80.6,69.7,82.8,79.7,56.5,83.7,71.5,53.0,68.1,53.0,53.0,84.4,31.3,34.1,51.6,44.8,64.7,46.4,38.8,82.0,56.6,61.0,38.6,51.8,61.7,42.7,65.6,51.0,55.6,"flexibility,literature,innovation,building,learning,experimentation,analysis,politics,mechanics,technology","gardening,fishing,tech_projects,math_puzzles,robotics,writing,outdoor_activities,app_development","flexible,research_oriented,analytical,collaborative,diverse,helping_others,goal_oriented,independent"
STU_82845,18,Female,3.36,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-09-30 19:31:55.832414,100.0,81.9,44.1,72.3,69.8,63.1,30.6,40.1,63.0,71.1,62.6,58.3,79.0,37.8,49.2,53.1,75.9,65.2,33.6,64.9,54.2,49.8,69.2,75.5,74.0,47.4,55.4,65.0,74.6,52.8,"flexibility,literature,learning,analysis,politics,exploration,technology","various_activities,sewing,math_puzzles,robotics,investing,crafting,writing,gaming,coding,traveling,cultural_activities","exploratory,flexible,innovative,research_oriented,competitive,physical,skill_based,diverse,leadership,creative,meaningful_work,challenging,independent,service_oriented"
STU_13248,16,Male,3.26,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-06-04 19:31:55.832512,70.9,70.0,72.2,80.3,81.3,75.1,65.4,50.3,65.4,83.1,59.5,83.5,55.8,72.3,61.3,55.5,61.4,30.2,56.7,65.4,82.2,52.2,47.9,52.5,73.7,64.9,52.1,67.7,61.5,74.5,"literature,innovation,environment,diverse_fields,experimentation,analysis,technology,finance,interior_design","tech_projects,math_puzzles,robotics,gaming,outdoor_activities,reading_business,coding,animal_care,science_experiments,cultural_activities","innovative,research_oriented,analytical,hands_on,collaborative,goal_oriented,meaningful_work,challenging,independent,service_oriented"
STU_77889,15,Female,3.03,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-01-09 19:31:55.832654,78.7,78.1,38.0,64.4,84.6,60.1,56.5,38.8,53.7,54.9,48.0,57.6,86.0,88.3,62.6,63.9,58.9,31.2,59.6,60.9,96.9,57.1,64.5,59.5,42.5,77.1,71.3,71.9,46.4,81.0,"sustainability,family_care,analysis,construction,food_production,technology,research","farming,computer_building,math_puzzles,robotics,gaming,decorating,coding,baking,science_experiments","exploratory,innovative,research_oriented,analytical,collaborative,diverse,helping_others,physical_work,goal_oriented,challenging,technical,independent,sustainable"
STU_24168,15,Male,3.51,High,Academic,STEM – Science Technology Engineering and Mathematics,2024-11-11 19:31:55.832746,87.9,100.0,45.1,51.5,83.0,52.4,36.7,61.0,44.1,67.1,46.2,83.2,74.2,55.2,72.2,41.5,63.4,79.6,35.9,62.8,63.9,71.7,41.4,40.2,67.8,64.5,63.8,65.2,49.8,63.5,"variety,experimentation,analysis,economics,agriculture,technology,research","tech_projects,math_puzzles,gaming,outdoor_activities,metalworking,coding,networking,baking,debating,science_experiments,cultural_activities","caring,research_oriented,competitive,physical,leadership,creative,goal_oriented,meaningful_work,challenging,outdoor_work,independent,service_oriented"
STU_72746,15,Other,3.7,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-01-21 19:31:55.832843,74.9,100.0,67.1,42.1,88.6,45.4,71.8,77.4,47.7,74.5,66.2,72.3,100.0,56.3,48.7,46.7,47.8,58.8,65.1,64.2,72.4,60.2,81.8,56.0,100.0,69.4,47.1,43.9,67.2,56.6,"variety,business,innovation,environment,analysis,technology","learning_new_things,tech_projects,various_activities,math_puzzles,crafting,gaming,repair_work,science_experiments","adaptable,flexible,innovative,research_oriented,physical,practical,analytical,helping_others,physical_work,leadership,creative,goal_oriented,challenging,independent"
STU_70552,15,Other,3.25,High,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-04 19:31:55.832903,86.7,81.3,47.3,37.3,77.5,72.8,63.2,41.3,62.6,65.8,46.7,62.3,82.6,42.9,65.4,68.4,76.2,75.8,39.3,45.9,67.7,67.7,67.7,100.0,68.6,77.0,74.3,69.8,55.3,71.4,"engineering,software,innovation,building,experimentation,analysis,economics,mechanics,exploration,technology,research","exploring,various_activities,sewing,math_puzzles,robotics,volunteering,investing,coding,animal_care,science_experiments","caring,innovative,research_oriented,analytical,physical_work,leadership,challenging,outdoor_work,detail_oriented,independent,service_oriented"
STU_49251,15,Female,3.23,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-08-20 19:31:55.832952,79.6,77.1,61.2,94.7,63.3,70.3,35.8,52.9,76.3,61.0,43.8,49.3,88.8,49.0,63.2,60.7,50.2,92.2,69.5,29.6,62.8,50.1,72.8,48.1,58.3,67.6,73.0,42.0,55.0,52.9,"variety,software,literature,cooking,psychology,manufacturing,analysis,exploration,technology,finance,networking","exploring,robotics,gaming,app_development,baking,science_experiments,reading","exploratory,environmental,innovative,research_oriented,analytical,meaningful_work,challenging,outdoor_work,detail_oriented"
STU_18285,17,Other,3.44,Low,Academic,STEM – Science Technology Engineering and Mathematics,2024-10-13 19:31:55.832999,99.7,86.0,41.1,73.8,100.0,75.5,37.2,52.7,79.0,49.4,66.7,71.6,72.7,59.1,11.4,44.6,56.2,41.3,84.5,38.5,53.4,62.0,81.6,38.5,77.4,60.2,45.3,66.9,63.0,51.0,"variety,engineering,innovation,management,diverse_fields,experimentation,analysis,technology","fishing,math_puzzles,robotics,repair_work,traveling,baking,science_experiments","research_oriented,physical,leadership,challenging,independent,service_oriented,sustainable"
STU_39949,16,Female,3.42,Low,Academic,STEM – Science Technology Engineering and Mathematics,2025-02-04 19:31:55.833047,78.1,83.1,69.9,83.8,69.6,92.0,30.7,57.7,68.8,64.2,50.7,56.9,77.1,51.2,72.7,65.4,49.6,73.5,64.6,72.2,69.4,47.6,51.6,71.2,69.2,59.7,61.8,79.2,51.1,68.2,"engineering,sustainability,nutrition,learning,experimentation,analysis,construction,technology,finance,research","gardening,fishing,tech_projects,math_puzzles,robotics,investing,writing,gaming,reading_business,decorating,metalworking,coding,networking,app_development,reading","environmental,research_oriented,physical,analytical,diverse,helping_others,leadership,challenging,independent,service_oriented"
